express bus, 고속버스
traffic, 교통
train, 기차
ship, 배
bus, 버스
airplane, 비행기
car, 자동차
bicycle, 자전거
subway, 지하철
subway line, 호선
Korean express train, KTX
on foot, 걸어서
to transfer, 갈아타다
to get off, 내리다
to ride, 타다
bus stop, 버스 정류장
subway station, 지하철 역
How do I get to?, 어떻게 가요?
How long does it take?, 얼마나 걸려요?
market, 시장
or, 이나
about, 쯤
over here (for attention), 저기요
the next day, 다음 날
the first day, 첫날
to walk, 걷다
to attend, 다니다
to start, 시작하다
to be close, 가깝다
to be late, 늦다
to be quick, 빠르다
to be far, 멀다
there is a traffic jam, 교통이 복잡하다
from A to B, A에서 B까지
now, 이제
to arrive early, 일찍 도착하다
a little, 조금
weekend, 주말
to take a picture, 사진을 찍다
from, 한테서
Let's go together next time, 다음에 꼭 같이 가요
Please show the picture to me, 사진 좀 보여 주세요
this is great, 참 멋있어요
